lat,lon,temp,weather
39.4449,-73.9489,17.3,Rain: slight
39.9832,-74.9463,34.1,Drizzle: moderate
40.3568,-73.9053,7.6,Thunderstorm: slight or moderate
40.3508,-75.413,20.2,Drizzle: light
40.6594,-74.3824,25.0,Rain: moderate
41.3291,-75.2176,27.4,Thunderstorm: slight or moderate
41.0293,-74.3125,1.4,Drizzle: moderate
40.7508,-75.0779,12.4,Clear sky
40.6777,-74.5451,7.0,Drizzle: moderate
40.3203,-73.9041,4.5,Rain: slight
40.0145,-74.2247,30.7,Partly cloudy
40.9555,-74.0311,13.4,Partly cloudy
41.0818,-75.4497,-1.6,Overcast
39.9492,-75.0103,27.4,Clear sky
40.9327,-75.4425,-3.1,Snow fall: slight
39.6117,-74.256,26.5,Rain: moderate
40.7778,-75.2704,1.7,Snow fall: slight
40.984,-75.5087,7.9,Rain: moderate
39.8883,-74.8186,20.2,Drizzle: moderate
39.5042,-75.4247,30.4,Rain: slight
39.3111,-74.9535,-2.5,Overcast
40.6662,-75.5254,29.2,Rain: slight
41.0258,-75.59,19.9,Overcast
39.5787,-75.0394,33.3,Mainly clear
41.0917,-75.151,22.1,Fog
41.0254,-75.0804,13.2,Drizzle: light
41.0249,-74.9684,24.1,Drizzle: light
39.0305,-74.7481,17.8,Rain: moderate
40.1951,-74.1334,-4.4,Mainly clear
40.1832,-75.3383,9.3,Rain: moderate
39.2824,-74.5956,7.0,Drizzle: moderate
40.5169,-74.9399,0.0,Rain: moderate
41.232,-74.3647,-6.4,Snow fall: slight
40.4436,-75.5423,-5.4,Rain: moderate
41.0279,-74.3873,16.7,Snow fall: slight
39.5136,-73.9124,19.8,Overcast
39.179,-74.6706,15.2,Thunderstorm: slight or moderate
38.953,-74.0421,1.5,Rain: moderate
40.2797,-75.4215,29.3,Overcast
39.9594,-74.1072,-9.9,Clear sky
40.6117,-75.3854,-4.5,Drizzle: moderate
39.3128,-74.1513,30.7,Thunderstorm: slight or moderate
39.6493,-74.3835,19.2,Rain: slight
40.3759,-75.116,-9.8,Snow fall: slight
40.7914,-74.1737,21.6,Drizzle: moderate
39.5816,-74.5499,25.2,Rain: moderate
39.0349,-74.3836,19.5,Rain: slight
39.504,-74.1827,1.8,Fog
39.7349,-74.8948,4.1,Fog
40.2336,-74.1146,27.8,Rain: slight
40.8549,-74.3517,-8.4,Partly cloudy
41.0845,-74.8853,-7.9,Overcast
39.1473,-73.9126,-7.8,Overcast
39.2574,-74.0121,29.1,Clear sky
40.5508,-75.4057,2.7,Drizzle: moderate
39.9322,-75.1528,13.4,Drizzle: light
41.387,-74.7513,-8.3,Overcast
40.8152,-75.598,-6.3,Fog
40.8091,-74.0767,5.5,Fog
39.3288,-74.0205,-2.5,Drizzle: moderate
39.0017,-75.2029,14.4,Rain: slight
41.2406,-73.9914,5.9,Snow fall: slight
40.5666,-74.846,32.3,Overcast
40.9255,-75.1187,-3.8,Mainly clear
40.5555,-74.8488,15.0,Clear sky
40.9779,-75.5295,31.4,Drizzle: moderate
39.8974,-74.9401,-6.2,Rain: moderate
39.7826,-73.9544,3.1,Drizzle: moderate
40.6426,-74.0767,2.1,Fog
40.5922,-74.1375,25.0,Drizzle: moderate
39.0777,-73.9253,-0.5,Thunderstorm: slight or moderate
40.3313,-74.0369,13.6,Snow fall: slight
41.33,-74.2587,-2.0,Rain: moderate
39.3713,-74.3181,15.7,Clear sky
39.8747,-74.5629,-7.6,Rain: slight
40.088,-75.121,1.5,Drizzle: light
41.0563,-74.7208,9.0,Fog
38.996,-74.8623,3.0,Fog
39.2645,-74.3057,2.1,Snow fall: slight
39.1645,-74.0334,8.8,Fog
40.6234,-75.1364,22.7,Snow fall: slight
40.3821,-75.5831,-2.4,Mainly clear
39.068,-74.7807,21.3,Overcast
40.5624,-74.2005,-1.1,Rain: moderate
40.3418,-74.4127,32.8,Partly cloudy
39.6808,-74.1595,25.4,Mainly clear
40.0406,-75.3572,20.1,Overcast
39.4202,-74.9448,23.9,Fog
39.5663,-75.2216,-5.8,Drizzle: light
39.3858,-75.468,1.8,Drizzle: moderate
39.2436,-74.1934,7.8,Clear sky
40.8904,-74.5187,-9.7,Thunderstorm: slight or moderate
41.0313,-75.137,-4.6,Clear sky
39.606,-75.3437,15.6,Mainly clear
39.8858,-74.6563,18.6,Partly cloudy
39.5768,-74.6441,4.8,Thunderstorm: slight or moderate
39.4696,-75.2533,28.8,Snow fall: slight
39.5751,-74.7189,4.9,Rain: moderate
39.2352,-75.4147,-3.9,Drizzle: light
39.7274,-74.0156,33.3,Overcast
39.7846,-74.4585,13.7,Partly cloudy
40.1292,-74.8551,14.1,Partly cloudy
38.9325,-74.7816,-6.0,Rain: moderate
40.7734,-75.197,23.2,Thunderstorm: slight or moderate
40.7894,-75.3974,-1.0,Clear sky
40.4587,-75.5656,4.3,Rain: slight
39.6102,-75.3944,17.4,Mainly clear
39.7292,-75.496,26.7,Rain: slight
40.1564,-74.317,24.2,Fog
40.9953,-74.2887,6.1,Drizzle: moderate
40.9666,-74.1971,32.6,Drizzle: light
40.7292,-74.0847,14.0,Rain: slight
41.3772,-75.2309,12.9,Overcast
39.7965,-75.0628,13.0,Rain: moderate
40.6357,-74.0221,8.1,Snow fall: slight
39.2638,-74.9473,13.7,Rain: slight
39.1806,-75.2052,22.0,Fog
41.2051,-75.4057,-4.4,Drizzle: light
40.3271,-74.2062,27.1,Drizzle: light
39.3975,-74.3983,-1.8,Snow fall: slight
40.6032,-75.207,22.2,Clear sky
41.2524,-75.3875,34.4,Rain: slight
40.0394,-74.7937,32.9,Drizzle: moderate
40.5435,-74.0043,32.8,Drizzle: moderate
41.2578,-74.4018,29.3,Overcast
39.2369,-74.7992,-8.6,Mainly clear
39.7537,-75.4772,24.9,Partly cloudy
39.6979,-74.2242,-3.8,Rain: slight
40.6973,-75.3355,30.1,Drizzle: moderate
38.9309,-73.9517,6.8,Thunderstorm: slight or moderate
39.1933,-75.0787,7.6,Overcast
