incident_id,date,lat,lon,crime_type
1,2014-06-06,39.4449,-73.9489,Fraud
2,2010-11-09,39.9832,-74.9463,Sexual Assault
3,2021-05-03,40.3568,-73.9053,Arson
4,2016-10-14,40.3508,-75.413,Cybercrime
5,2019-08-26,40.6594,-74.3824,Cybercrime
6,2018-06-23,41.3291,-75.2176,Homicide
7,2013-04-26,41.0293,-74.3125,Burglary
8,2013-01-26,40.7508,-75.0779,Sexual Assault
9,2013-06-27,40.6777,-74.5451,Homicide
10,2018-12-15,40.3203,-73.9041,Shoplifting
11,2020-10-01,40.0145,-74.2247,Domestic Violence
12,2019-06-23,40.9555,-74.0311,Shoplifting
13,2016-12-20,41.0818,-75.4497,Assault
14,2013-05-14,39.9492,-75.0103,Weapons Violation
15,2016-10-25,40.9327,-75.4425,Cybercrime
16,2023-02-17,39.6117,-74.256,Drug Possession
17,2018-06-08,40.7778,-75.2704,Identity Theft
18,2022-07-24,40.984,-75.5087,Vandalism
19,2023-03-22,39.8883,-74.8186,Trespassing
20,2022-10-18,39.5042,-75.4247,Kidnapping
21,2021-09-14,39.3111,-74.9535,Shoplifting
22,2015-08-25,40.6662,-75.5254,Vandalism
23,2018-07-06,41.0258,-75.59,Sexual Assault
24,2022-08-21,39.5787,-75.0394,Identity Theft
25,2011-11-06,41.0917,-75.151,Human Trafficking
26,2017-08-16,41.0254,-75.0804,Homicide
27,2017-04-30,41.0249,-74.9684,DUI
28,2020-07-13,39.0305,-74.7481,Domestic Violence
29,2017-05-11,40.1951,-74.1334,Vandalism
30,2023-04-22,40.1832,-75.3383,Fraud
31,2018-08-02,39.2824,-74.5956,Drug Possession
32,2011-05-07,40.5169,-74.9399,Cybercrime
33,2019-05-07,41.232,-74.3647,Robbery
34,2017-10-20,40.4436,-75.5423,Sexual Assault
35,2013-05-05,41.0279,-74.3873,Drug Possession
36,2012-05-03,39.5136,-73.9124,Vandalism
37,2021-09-13,39.179,-74.6706,Weapons Violation
38,2022-10-05,38.953,-74.0421,Homicide
39,2015-01-11,40.2797,-75.4215,Weapons Violation
40,2023-10-12,39.9594,-74.1072,Weapons Violation
41,2019-05-01,40.6117,-75.3854,Weapons Violation
42,2013-03-06,39.3128,-74.1513,Theft
43,2017-01-29,39.6493,-74.3835,Burglary
44,2024-12-21,40.3759,-75.116,Trespassing
45,2022-06-17,40.7914,-74.1737,Burglary
46,2019-03-05,39.5816,-74.5499,Homicide
47,2018-02-22,39.0349,-74.3836,Homicide
48,2020-03-23,39.504,-74.1827,Human Trafficking
49,2010-03-30,39.7349,-74.8948,Cybercrime
50,2019-05-22,40.2336,-74.1146,Domestic Violence
51,2016-02-02,40.8549,-74.3517,Domestic Violence
52,2024-01-31,41.0845,-74.8853,Assault
53,2019-10-19,39.1473,-73.9126,Cybercrime
54,2021-01-13,39.2574,-74.0121,Domestic Violence
55,2010-02-02,40.5508,-75.4057,Arson
56,2022-05-28,39.9322,-75.1528,Public Intoxication
57,2013-12-27,41.387,-74.7513,Fraud
58,2012-11-01,40.8152,-75.598,Arson
59,2017-07-01,40.8091,-74.0767,Arson
60,2016-02-03,39.3288,-74.0205,Identity Theft
61,2023-02-22,39.0017,-75.2029,Trespassing
62,2017-05-27,41.2406,-73.9914,Trespassing
63,2019-05-11,40.5666,-74.846,Public Intoxication
64,2010-10-14,40.9255,-75.1187,Trespassing
65,2018-10-21,40.5555,-74.8488,Kidnapping
66,2011-08-03,40.9779,-75.5295,Vandalism
67,2017-12-15,39.8974,-74.9401,Sexual Assault
68,2018-05-07,39.7826,-73.9544,Drug Possession
69,2021-06-19,40.6426,-74.0767,Shoplifting
70,2014-01-19,40.5922,-74.1375,Arson
71,2024-03-19,39.0777,-73.9253,DUI
72,2019-01-14,40.3313,-74.0369,Theft
73,2012-05-22,41.33,-74.2587,Drug Possession
74,2023-11-28,39.3713,-74.3181,Robbery
75,2021-06-24,39.8747,-74.5629,Drug Possession
76,2023-06-22,40.088,-75.121,Drug Possession
77,2023-04-22,41.0563,-74.7208,Weapons Violation
78,2016-05-23,38.996,-74.8623,Vandalism
79,2010-10-12,39.2645,-74.3057,Trespassing
80,2017-05-18,39.1645,-74.0334,Assault
81,2010-01-24,40.6234,-75.1364,Arson
82,2013-03-03,40.3821,-75.5831,Human Trafficking
83,2021-08-10,39.068,-74.7807,Theft
84,2014-11-28,40.5624,-74.2005,DUI
85,2020-07-04,40.3418,-74.4127,Arson
86,2010-04-07,39.6808,-74.1595,Human Trafficking
87,2021-01-30,40.0406,-75.3572,Domestic Violence
88,2016-08-15,39.4202,-74.9448,Theft
89,2014-12-05,39.5663,-75.2216,Trespassing
90,2015-02-25,39.3858,-75.468,Human Trafficking
91,2013-08-28,39.2436,-74.1934,Theft
92,2013-06-09,40.8904,-74.5187,Trespassing
93,2016-07-09,41.0313,-75.137,Shoplifting
94,2010-03-26,39.606,-75.3437,Trespassing
95,2013-05-19,39.8858,-74.6563,Robbery
96,2012-05-03,39.5768,-74.6441,Fraud
97,2017-07-01,39.4696,-75.2533,Public Intoxication
98,2011-11-15,39.5751,-74.7189,Shoplifting
99,2016-01-26,39.2352,-75.4147,Fraud
100,2021-07-08,39.7274,-74.0156,Vandalism
101,2022-08-23,39.7846,-74.4585,Drug Possession
102,2012-02-16,40.1292,-74.8551,Theft
103,2012-05-15,38.9325,-74.7816,Drug Possession
104,2020-12-17,40.7734,-75.197,Vandalism
105,2016-10-17,40.7894,-75.3974,Shoplifting
106,2014-08-28,40.4587,-75.5656,Identity Theft
107,2021-06-15,39.6102,-75.3944,Trespassing
108,2023-04-11,39.7292,-75.496,Sexual Assault
109,2015-11-09,40.1564,-74.317,Sexual Assault
110,2012-02-29,40.9953,-74.2887,Burglary
111,2013-06-04,40.9666,-74.1971,Human Trafficking
112,2011-06-01,40.7292,-74.0847,Cybercrime
113,2019-09-07,41.3772,-75.2309,Robbery
114,2015-04-05,39.7965,-75.0628,Vandalism
115,2021-07-08,40.6357,-74.0221,Trespassing
116,2020-09-23,39.2638,-74.9473,Cybercrime
117,2013-08-24,39.1806,-75.2052,Drug Possession
118,2017-08-17,41.2051,-75.4057,Kidnapping
119,2018-05-10,40.3271,-74.2062,Theft
120,2016-06-14,39.3975,-74.3983,Domestic Violence
121,2010-07-19,40.6032,-75.207,Human Trafficking
122,2024-01-22,41.2524,-75.3875,Kidnapping
123,2015-02-05,40.0394,-74.7937,Theft
124,2011-10-05,40.5435,-74.0043,Fraud
125,2024-09-06,41.2578,-74.4018,Weapons Violation
126,2024-02-06,39.2369,-74.7992,Identity Theft
127,2019-01-27,39.7537,-75.4772,Cybercrime
128,2021-04-06,39.6979,-74.2242,Weapons Violation
129,2011-10-20,40.6973,-75.3355,Weapons Violation
130,2013-12-28,38.9309,-73.9517,Kidnapping
131,2022-11-08,39.1933,-75.0787,Shoplifting
132,2014-05-03,39.3422,-75.5668,Cybercrime
133,2021-05-29,41.0225,-74.6174,DUI
134,2019-01-18,41.2763,-73.9304,Assault
135,2015-09-18,40.0916,-74.3734,Cybercrime
136,2015-04-24,39.8006,-75.0125,Robbery
137,2011-06-05,40.0251,-75.5095,Robbery
138,2024-03-30,41.1557,-75.2028,Drug Possession
139,2022-12-23,39.7097,-74.5799,Homicide
140,2014-09-02,39.8472,-75.262,Shoplifting
141,2011-01-04,39.7689,-74.6546,Kidnapping
142,2019-06-03,39.2784,-74.753,Sexual Assault
143,2012-03-30,41.281,-75.4329,Robbery
144,2021-11-14,40.0522,-74.5878,Drug Possession
